FENCE commit cycle=73
B cycle=94 addr=80000080 resp=0
INVALIDATE cycle=103 done=1
QUERY A cycle=104 maintenance=0 invalidate=0
COMMIT cycle=240 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=241 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=242 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=243 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=244 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=245 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=246 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=247 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=248 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=249 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=250 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=251 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=252 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=253 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=254 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=255 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=256 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=257 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=258 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=259 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=260 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=261 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=262 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=263 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=264 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=265 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=266 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=267 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=268 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=269 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=270 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=271 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=272 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=273 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=274 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=275 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=276 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=277 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=278 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=279 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=280 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=281 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=282 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=283 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=284 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=285 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=286 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=287 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=288 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=289 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=290 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=291 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=292 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=293 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=294 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=295 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=296 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=297 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=298 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=299 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=300 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=301 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=302 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=303 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=304 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=305 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=306 pc=800001c0 next=800001c0 trap=0
